hydro_year,Flow_m3_sec,rank,decile,station_id
2000,13.85,3,1,12130
2001,0.55,17,8,12130
2002,11.2,4,2,12130
2003,1.44,15,7,12130
2004,16.64,2,1,12130
2005,1.562,14,7,12130
2006,1.636,13,6,12130
2007,0.2730280777537797,20,10,12130
2008,1.8,12,6,12130
2009,0.52,19,9,12130
2010,0.9,16,8,12130
2011,0.55,17,8,12130
2012,10.155,5,2,12130
2013,3.77,9,4,12130
2014,1.81,11,5,12130
2015,3.07,10,5,12130
2016,0.058,21,10,12130
2017,7.34,7,3,12130
2018,29.81,1,1,12130
2022,8.38,6,3,12130
2023,6.2,8,4,12130
2000,11.78,6,3,12140
2001,1.0,19,9,12140
2002,12.5,5,2,12140
2003,5.61,11,5,12140
2004,37.54,2,1,12140
2005,8.84,7,3,12140
2006,1.63,18,9,12140
2007,0.117,22,10,12140
2008,1.83,17,8,12140
2009,0.879,20,10,12140
2010,1.885,16,8,12140
2011,0.51,21,10,12140
2012,4.56,12,6,12140
2013,4.374,13,6,12140
2014,5.735,10,5,12140
2015,13.234,4,2,12140
2016,2.4,15,7,12140
2017,7.987,8,4,12140
2018,30.968,3,1,12140
2019,40.73,1,1,12140
2022,7.06,9,4,12140
2023,3.745,14,7,12140
2000,19.8,3,1,13105
2001,0.548,17,8,13105
2002,13.63,6,3,13105
2003,11.84,7,3,13105
2004,10.16,8,4,13105
2005,4.91,12,5,13105
2006,30.4,1,1,13105
2007,0.3186486956521739,19,9,13105
2008,1.066,15,7,13105
2009,0.17,21,10,13105
2010,2.22,14,6,13105
2011,0.31,20,9,13105
2013,21.117,2,1,13105
2014,0.534,18,8,13105
2015,6.448,11,5,13105
2016,1.06,16,7,13105
2017,9.286,9,4,13105
2018,14.619,5,2,13105
2019,8.634,10,5,13105
2020,0.0137116060961313,22,10,13105
2021,0.0068464243845252,23,10,13105
2022,18.47,4,2,13105
2023,2.66,13,6,13105
2004,1.14,7,4,13125
2005,0.344,14,7,13125
2006,0.31,15,8,13125
2007,0.7,13,7,13125
2008,0.118,18,9,13125
2009,0.975,9,5,13125
2010,0.214,16,8,13125
2011,0.975,9,5,13125
2012,3.56,6,3,13125
2013,25.78,1,1,13125
2014,0.18,17,9,13125
2015,5.08,5,3,13125
2016,0.96,11,6,13125
2017,1.056,8,4,13125
2018,14.69,2,1,13125
2019,6.84,4,2,13125
2020,0.0488475967174677,19,10,13125
2021,0.024390386869871,20,10,13125
2022,8.14,3,2,13125
2023,0.8,12,6,13125
2004,3.568,12,6,13135
2005,3.402,13,7,13135
2006,0.67,17,9,13135
2007,0.184316020482809,18,9,13135
2008,3.07,14,7,13135
2009,8.48,8,4,13135
2010,5.55,10,5,13135
2011,1.31,15,8,13135
2012,10.56,6,3,13135
2013,45.7,1,1,13135
2014,1.235,16,8,13135
2015,13.9,4,2,13135
2016,6.6,9,5,13135
2017,10.02,7,4,13135
2018,22.83,3,2,13135
2019,12.48,5,3,13135
2020,0.1513997655334114,19,10,13135
2021,0.0775990621336459,20,10,13135
2022,22.88,2,1,13135
2023,3.98,11,6,13135
2004,3.04,6,4,13146
2005,0.26,9,6,13146
2006,0.652,8,5,13146
