job_id,batch_size,hidden_size,learning_rate,output_dropout,seq_length,statics_embedding
0,256,512,0.1,0.2,216,20
1,1024,256,0.01,0.6,216,15
2,128,64,0.0005,0.4,144,20
3,256,512,0.001,0.8,288,15
4,512,256,0.05,0.2,216,10
5,128,128,0.05,0.4,36,25
6,1024,512,0.005,0.8,144,20
7,2048,32,0.001,0.6,216,20
8,128,512,0.005,0.6,72,5
9,1024,256,0.01,0.4,72,5
10,256,128,0.0005,0.6,288,25
11,128,256,0.001,0.8,144,25
12,256,512,0.001,0.8,288,5
13,1024,64,0.005,0.8,36,20
14,512,1024,0.0001,0.4,144,15
15,2048,64,0.0001,0.0,288,15
16,1024,256,0.001,0.8,72,10
17,256,32,0.001,0.8,144,15
18,1024,32,0.001,0.0,72,25
19,128,32,0.0001,0.6,72,25
20,2048,64,0.0005,0.4,72,5
21,128,512,0.001,0.6,36,5
22,1024,32,0.001,0.6,144,10
23,1024,64,0.05,0.6,288,5
24,512,128,0.005,0.0,144,5
25,2048,1024,0.01,0.8,216,5
26,1024,32,0.0005,0.0,72,15
27,256,128,0.01,0.8,144,5
28,512,256,0.0005,0.2,216,15
29,1024,512,0.0001,0.6,144,5
30,128,1024,0.0005,0.2,144,25
31,1024,32,0.001,0.4,288,20
32,128,1024,0.005,0.4,72,10
33,2048,1024,0.0005,0.0,288,5
34,2048,512,0.01,0.8,216,5
35,128,512,0.01,0.0,216,25
36,512,64,0.0001,0.8,36,5
37,512,128,0.1,0.0,144,20
38,512,64,0.01,0.4,72,5
39,256,256,0.0001,0.0,72,10
40,128,32,0.0001,0.4,288,25
41,1024,512,0.001,0.4,72,15
42,2048,128,0.005,0.8,36,10
43,512,32,0.0005,0.8,144,15
44,128,64,0.0001,0.2,144,5
45,128,64,0.05,0.2,36,10
46,512,32,0.05,0.6,216,15
47,256,256,0.0005,0.2,72,10
48,512,64,0.005,0.2,216,25
49,256,64,0.0005,0.6,144,15
50,512,64,0.005,0.0,72,20
51,128,512,0.0005,0.4,36,10
52,128,256,0.1,0.4,72,10
53,512,512,0.01,0.6,144,15
54,2048,256,0.0005,0.6,288,20
55,128,64,0.1,0.6,288,10
56,256,512,0.01,0.8,216,25
57,2048,1024,0.01,0.0,288,10
58,256,256,0.01,0.8,72,5
59,512,1024,0.0001,0.6,36,10
