basin,hydro_year,max_date,max_discharge
2105,2010,06/04/2011,345805.91
2105,2011,13/01/2012,500071.06
2105,2012,07/01/2013,1422054.61
4110,2010,06/04/2011,95021.4
4110,2011,13/01/2012,149832.21
4110,2012,20/12/2012,301725.65
5110,2010,06/04/2011,546294.99
5110,2011,13/01/2012,815647.8
5110,2012,07/01/2013,828742.37
7105,2010,12/12/2010,767327.29
7105,2011,13/01/2012,819772.92
7105,2012,07/01/2013,2110251.63
8130,2010,12/03/2011,27661.93
8130,2011,02/02/2012,59303.28
8130,2012,08/01/2013,179118.48
8140,2010,12/12/2010,540604.38
8140,2011,01/03/2012,242686.65
8140,2012,07/01/2013,368814.75
8146,2010,12/12/2010,2024035.79
8146,2011,01/03/2012,2216046.53
8146,2012,09/01/2013,9432700.66
8155,2010,07/04/2011,161883.32
8155,2011,02/03/2012,515229.85
8155,2012,01/02/2013,448676.23
9130,2010,12/12/2010,8258.17
9130,2011,13/01/2012,5868.58
9130,2012,06/12/2012,10371.27
10114,2012,06/01/2013,219163.76
12130,2010,12/03/2011,106686.55
12130,2011,13/01/2012,515132.13
12130,2012,08/01/2013,1110435.21
12140,2010,12/03/2011,82261.65
12140,2011,14/01/2012,415260.84
12140,2012,08/01/2013,1069492.53
13105,2010,12/03/2011,102657.62
13105,2012,08/01/2013,1226452.56
13125,2010,12/12/2010,15208.99
13125,2011,01/02/2012,115617.48
13125,2012,08/01/2013,1107775.01
13135,2010,12/12/2010,207364.74
13135,2011,13/01/2012,239312.1
13135,2012,08/01/2013,1523214.42
13146,2010,12/12/2010,284433.31
13146,2011,13/01/2012,235940.51
13146,2012,08/01/2013,1903214.5
14115,2010,12/12/2010,338886.75
14115,2011,13/01/2012,203255.38
14115,2012,08/01/2013,1258510.89
14120,2010,13/12/2010,861311.55
14120,2011,01/03/2012,479362.2
14120,2012,09/01/2013,12666905.84
15120,2010,13/12/2010,899057.82
15120,2011,01/03/2012,897513.99
15120,2012,08/01/2013,8096238.17
17110,2010,13/12/2010,24115.8
17110,2011,02/03/2012,82213.92
17110,2012,08/01/2013,438155.76
17117,2010,11/03/2011,22099.72
17117,2011,02/03/2012,54375.13
17117,2012,08/01/2013,289770.63
17123,2010,10/03/2011,63560.61
17123,2011,02/03/2012,3470602.46
17135,2010,13/12/2010,2625183.61
17135,2011,04/11/2011,2371902.77
17135,2012,09/01/2013,8131410
17144,2010,13/12/2010,574590.09
17144,2011,01/02/2012,1075754.9
17144,2012,08/01/2013,4464333.61
17155,2010,30/01/2011,110456.77
17155,2011,02/03/2012,1209077.74
17155,2012,08/01/2013,2965905.62
17162,2010,30/01/2011,179905.78
17162,2011,01/02/2012,403433.43
17162,2012,08/01/2013,1900070.37
17164,2010,13/12/2010,806569.7
17164,2011,01/03/2012,1969192.62
17164,2012,08/01/2013,8545809.14
17168,2010,13/12/2010,2727589.77
17168,2011,01/02/2012,3824642.24
17168,2012,08/01/2013,18656158.96
17268,2010,08/03/2011,65889.9
17268,2012,08/01/2013,774394.38
17368,2010,08/03/2011,65761.2
17368,2011,02/01/2012,148395.57
17368,2012,08/01/2013,192047.08
18103,2012,08/01/2013,1669623.05
18109,2011,01/03/2012,288738.07
18109,2012,08/01/2013,364690.9
18115,2010,13/12/2010,142626.96
18115,2011,02/03/2012,1331194.17
18115,2012,09/01/2013,3959531.31
18125,2011,01/03/2012,35710.6
18125,2012,31/01/2013,99784.39
18131,2010,21/02/2011,147610.77
18131,2011,02/03/2012,1972502.63
18131,2012,09/01/2013,3009850.5
18140,2010,13/12/2010,195858.77
18140,2011,02/03/2012,2972230.16
18140,2012,31/01/2013,4484694.65
18146,2010,25/03/2011,161074.89
18146,2011,02/03/2012,360237.63
18146,2012,31/01/2013,1098997.3
18150,2010,13/12/2010,402388.54
18150,2011,02/03/2012,2867654.63
18150,2012,31/01/2013,5013491.91
18178,2010,30/01/2011,128476.24
18178,2011,01/03/2012,987652.79
18178,2012,08/01/2013,2812776.64
18180,2010,13/12/2010,975015.33
18180,2011,01/02/2012,1413640.92
18180,2012,31/01/2013,6468914.8
19130,2010,13/12/2010,115320.79
19130,2011,02/03/2012,437599.22
19130,2012,31/01/2013,499601.91
19160,2010,13/12/2010,7020.23
19160,2011,02/03/2012,213457.7
19160,2012,31/01/2013,81559.2
19178,2010,13/12/2010,538459.25
19178,2011,01/03/2012,1363899.09
19178,2012,08/01/2013,5703247.03
19185,2010,13/12/2010,1341302.53
19185,2011,02/03/2012,2668011.92
19185,2012,08/01/2013,7816652.43
21105,2010,01/02/2011,166139.82
21105,2011,01/02/2012,458082.6
21105,2012,01/02/2013,28517.49
21120,2010,01/02/2011,35322.9
21120,2011,14/01/2012,299882.36
21120,2012,09/01/2013,132483.08
21130,2011,02/02/2012,1100229.9
21130,2012,09/01/2013,12597.46
23103,2011,22/06/2012,1498.41
23103,2012,10/01/2013,2242.86
23105,2011,22/06/2012,10053
23105,2012,10/01/2013,567426.24
23134,2010,01/02/2011,140986.55
23134,2011,18/02/2012,71482.87
23134,2012,09/01/2013,35195.89
23137,2010,01/02/2011,3588984.23
23137,2011,02/03/2012,1794532.21
23137,2012,09/01/2013,3975118.38
23150,2010,03/02/2011,1399222.7
23150,2011,04/03/2012,605224.99
23150,2012,11/01/2013,4945230.86
23160,2010,02/02/2011,29011.62
23160,2011,02/03/2012,106238.94
23160,2012,10/01/2013,247114.75
25191,2010,05/04/2011,169713.95
25191,2011,22/06/2012,19375.81
25191,2012,10/01/2013,280544.59
30118,2010,16/02/2011,27556.92
30118,2011,15/03/2012,20216.93
30118,2012,20/12/2012,70873.31
30120,2010,10/03/2011,3292900.71
30120,2011,17/02/2012,2730822.8
30120,2012,07/01/2013,4758499.02
30122,2010,10/03/2011,2589595.62
30122,2011,01/03/2012,2653817.7
30122,2012,07/01/2013,5348702.25
30124,2010,26/02/2011,318243
30124,2011,16/03/2012,774941.03
30124,2012,08/01/2013,692979.03
30125,2010,28/04/2011,335711.52
30125,2011,01/10/2011,81786.24
30125,2012,23/04/2013,464151.36
30128,2010,27/02/2011,1206184.43
30128,2011,16/03/2012,1869617.3
30128,2012,07/01/2013,2250688.83
30131,2010,20/04/2011,606920.81
30131,2011,29/03/2012,644128.37
30131,2012,12/01/2013,805150.32
30136,2010,10/03/2011,6692507.1
30136,2011,16/03/2012,5633206.92
30136,2012,07/01/2013,9200154.14
