gauge_id,p_mean,pet_mean,aridity,frac_snow,moisture_index,seasonality,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
il_12130,1.259691992,7.682043121,6.098350368,0,-0.769597131,0.723828777,0.063928816,1.624347826,0.824503765,11.13308688
il_12140,1.246170431,7.717097194,6.192649898,0,-0.776311985,0.703176723,0.062902122,1.626548673,0.82642026,11.28411215
il_13105,1.23264271,7.648346338,6.204836384,0,-0.765884938,0.736162253,0.06495551,1.61669506,0.823408624,11.06715731
il_13125,1.102131417,7.7242423,7.008458503,0,-0.789313662,0.66409133,0.064750171,1.589915966,0.82936345,11.25069638
il_13135,1.103285421,7.722483231,6.99953347,0,-0.78892911,0.665253944,0.064887064,1.587939698,0.829295003,11.24976787
il_13146,1.077241615,7.763709103,7.207026718,0,-0.797557933,0.638526194,0.064202601,1.597955707,0.83155373,11.39681051
il_14115,1.139327858,7.595061602,6.666265159,0,-0.77206218,0.718446386,0.065708419,1.58677686,0.826146475,10.95281307
il_14120,1.188425051,7.175733744,6.038019592,0,-0.728737156,0.859672311,0.065776865,1.557536467,0.823203285,10.69066667
il_15120,1.110847365,7.037819302,6.33554125,0,-0.747210931,0.801764013,0.065639973,1.587748344,0.827652293,10.97277677
il_17110,1.267077344,5.920492813,4.672558341,0,-0.623425856,1.187008002,0.066255989,1.581699346,0.818206708,10.28743546
il_17117,1.245904175,5.415997262,4.347041586,0,-0.592593653,1.270538388,0.065229295,1.585690516,0.821081451,10.51358457
il_17123,1.251110883,5.40279603,4.318399035,0,-0.589456298,1.277931095,0.065229295,1.583056478,0.820876112,10.49256343
il_17135,1.111845311,6.017677618,5.412333493,0,-0.691365562,0.99424314,0.06495551,1.611205433,0.828131417,10.89018902
il_17144,0.813587269,6.763156057,8.312760432,0,-0.815625233,0.590632949,0.063518138,1.639575972,0.856536619,12.514
il_17155,1.107762491,5.575768652,5.033361117,0,-0.657206761,1.105888503,0.063791923,1.571669477,0.831211499,10.81389136
il_17162,0.839181383,5.58757974,6.65836952,0,-0.755350259,0.80339121,0.063107461,1.628975265,0.852429843,12.10301263
il_17164,0.93752293,6.244531143,6.660670312,0,-0.759962909,0.770813677,0.064134155,1.635253054,0.845174538,11.63807729
il_17168,0.911160849,6.341711841,6.960035487,0,-0.777497325,0.712472044,0.064202601,1.657243816,0.847843943,11.89913545
il_18115,0.987758385,5.961279261,6.03515936,0,-0.713964632,0.927054418,0.063312799,1.586620926,0.842847365,11.67203791
il_18125,0.727861054,7.609965777,10.45524518,0,-0.854025518,0.467750809,0.063039014,1.61013986,0.865639973,13.11929461
il_18131,0.875516769,6.590774812,7.52786816,0,-0.786408359,0.685071605,0.063449692,1.609375,0.85065024,12.04263566
il_18150,0.842474333,6.957689938,8.258637289,0,-0.818663557,0.575311298,0.062833676,1.639285714,0.855578371,12.53761284
il_18178,0.795665982,7.689160849,9.663804939,0,-0.861678735,0.433562196,0.06091718,1.698473282,0.866803559,13.64655172
il_18180,0.842474333,6.957689938,8.258637289,0,-0.818663557,0.575311298,0.062833676,1.639285714,0.855578371,12.53761284
il_19130,0.596219028,6.655132786,11.16222809,0,-0.865223402,0.444062147,0.059616701,1.598165138,0.883162218,14.91676301
il_19160,0.646715264,6.960825462,10.76335422,0,-0.856728033,0.465131149,0.060711841,1.567137809,0.874401095,13.82575758
il_19178,0.696578371,7.120206023,10.22168692,0,-0.855416273,0.46570703,0.06091718,1.63003663,0.872416153,13.86942329
il_19180,0.672570157,7.095936345,10.55047755,0,-0.861755502,0.449713565,0.060027379,1.624074074,0.876454483,14.43630214
il_2105,1.724268994,6.389796715,3.705800393,0,-0.593112594,1.199996742,0.065982204,1.612040134,0.788295688,9.629598662
il_21105,0.517117043,7.304900753,14.12620383,0,-0.897586226,0.352214779,0.058521561,1.628571429,0.896851472,16.19653894
il_21120,0.49257358,6.818393566,13.84238588,0,-0.892712004,0.363476887,0.058521561,1.610169492,0.897193703,16.24287485
il_21130,0.536995209,7.181100616,13.37274616,0,-0.891318602,0.368334219,0.058863792,1.607476636,0.893702943,16.00122549
il_23103,0.25715332,4.749119781,18.46804773,0,-0.908188011,0.330987673,0.050581793,1.50203252,0.940109514,24.79241877
il_23105,0.252704312,4.688311431,18.55255809,0,-0.911690222,0.313770109,0.050513347,1.521649485,0.940657084,25.17032967
il_23134,0.347537988,4.64987885,13.37948373,0,-0.875132321,0.46125427,0.055441478,1.578947368,0.91779603,18.96605375
il_23137,0.425635866,5.220451061,12.26506383,0,-0.861676491,0.489906792,0.05927447,1.600739372,0.903764545,17.10362694
il_23150,0.377824778,5.027568789,13.30661483,0,-0.87660418,0.439985037,0.056741958,1.612840467,0.909650924,17.74365821
il_23160,0.550389459,6.733010267,12.23317444,0,-0.881645218,0.415790965,0.057289528,1.637964775,0.893976728,16.22484472
il_25191,0.226456537,4.500145106,19.87200358,0,-0.92095938,0.27763529,0.04880219,1.51059322,0.945448323,26.61464355
il_30118,1.645308008,5.607182752,3.407983626,0,-0.510787723,1.415583973,0.06495551,1.600337268,0.796235455,9.496326531
il_30120,1.658591376,4.956460643,2.98835549,0,-0.453337513,1.525268662,0.065023956,1.602023609,0.785968515,9.063141279
il_30122,1.658892539,4.96328679,2.991927851,0,-0.454083316,1.52364146,0.065023956,1.602023609,0.785968515,9.070300158
il_30124,1.612232033,5.243596167,3.252383069,0,-0.479076573,1.50290796,0.066119097,1.61,0.799589322,9.474452555
il_30125,1.628966461,5.660375086,3.474826045,0,-0.516588096,1.40803836,0.06495551,1.600337268,0.797878166,9.52369281
il_30128,1.625370294,5.731557837,3.526308963,0,-0.523006998,1.394003277,0.065092402,1.603709949,0.797946612,9.5400982
il_30131,1.654443532,5.707127995,3.449575573,0,-0.519061344,1.391991473,0.065229295,1.604377104,0.795208761,9.53076292
il_30136,1.655359343,5.20777755,3.146010304,0,-0.478164089,1.476933047,0.064818617,1.602368866,0.788637919,9.180876494
il_30145,1.699095825,6.056053388,3.564280072,0,-0.560913849,1.267207319,0.065708419,1.618887015,0.795893224,9.57037037
il_30155,1.562438741,6.289001369,4.025118685,0,-0.575440465,1.282324907,0.06495551,1.641868512,0.805817933,9.843645485
il_30165,1.796483915,6.341539357,3.5299728,0,-0.560476477,1.27743801,0.065639973,1.647766323,0.797946612,9.896434635
il_30170,1.733489391,6.416941821,3.701748539,0,-0.563764518,1.284087348,0.065913758,1.646153846,0.807939767,10.14089347
il_30175,1.661143053,5.596288843,3.368938536,0,-0.512509535,1.404908617,0.065845311,1.627749577,0.793497604,9.628737542
il_31110,1.610087611,6.394938398,3.971795295,0,-0.590106188,1.226129203,0.06550308,1.62755102,0.810130048,10.30113142
il_31115,1.471401095,6.694726899,4.549899359,0,-0.64264297,1.104596501,0.065092402,1.634020619,0.811909651,10.46954987
il_31155,1.375404517,7.05617796,5.130256496,0,-0.66488971,1.077618658,0.064887064,1.645833333,0.825530459,10.74955437
il_31160,1.283944559,7.226666667,5.628488098,0,-0.695584896,0.988585414,0.064544832,1.642857143,0.831690623,11.03633061
il_31163,1.176570842,7.249219028,6.161311134,0,-0.722695587,0.892357099,0.064271047,1.664893617,0.837645448,11.4588015
il_31165,1.031006845,6.898492129,6.691024569,0,-0.748287003,0.792681384,0.062422998,1.649186257,0.847091034,12.25346535
il_31198,1.499775496,6.042154689,4.028706099,0,-0.581141829,1.262494568,0.065434634,1.653979239,0.806297057,10.12027491
