gauge_id,p_mean,pet_mean,aridity,moisture_index,seasonality,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,sgr_dk_sav,nli_ix_sav,glc_pc_s03,pet_mm_syr,swc_pc_s09,ele_mt_smx,tbi_cl_smj,swc_pc_s01,swc_pc_s02,swc_pc_s03,swc_pc_s04,swc_pc_s05,swc_pc_s06,swc_pc_s07,swc_pc_s08,crp_pc_sse,glc_pc_s22,glc_pc_s20,wet_pc_sg1,wet_pc_sg2,pac_pc_sse,swc_pc_s10,swc_pc_s11,swc_pc_s12,clz_cl_smj,gwt_cm_sav,glc_pc_s18,hft_ix_s93,glc_pc_s15,ire_pc_sse,glc_pc_s16,glc_pc_s14,glc_pc_s12,kar_pc_sse,slp_dg_sav,glc_pc_s19,tmp_dc_s07,tmp_dc_s08,tmp_dc_s05,tmp_dc_s06,tmp_dc_s09,for_pc_sse,aet_mm_s06,aet_mm_s05,aet_mm_s08,aet_mm_s07,aet_mm_s09,tmp_dc_s10,tmp_dc_s11,aet_mm_s02,aet_mm_s01,tmp_dc_s12,aet_mm_s04,aet_mm_s03,lit_cl_smj,tmp_dc_s03,tmp_dc_s04,tmp_dc_s01,tmp_dc_s02,cls_cl_smj,pre_mm_syr,rdd_mk_sav,ele_mt_smn,pnv_pc_s09,wet_cl_smj,pnv_pc_s11,pnv_pc_s12,pnv_pc_s10,pnv_pc_s14,cmi_ix_syr,pet_mm_s11,pet_mm_s12,pet_mm_s10,tmp_dc_smn,wet_pc_s08,wet_pc_s09,slt_pc_sav,wet_pc_s01,hdi_ix_sav,wet_pc_s07,fec_cl_smj,glc_cl_smj,swc_pc_syr,hft_ix_s09,soc_th_sav,gdp_ud_sav,gdp_ud_ssu,tmp_dc_smx,cly_pc_sav,pet_mm_s02,pet_mm_s03,pet_mm_s01,snw_pc_smx,ppd_pk_sav,pet_mm_s08,aet_mm_s11,pet_mm_s09,aet_mm_s10,pet_mm_s06,pet_mm_s07,aet_mm_s12,pet_mm_s04,pet_mm_s05,inu_pc_slt,ero_kh_sav,aet_mm_syr,cmi_ix_s10,cmi_ix_s11,cmi_ix_s12,ari_ix_sav,tmp_dc_syr,tec_cl_smj,inu_pc_smn,pnv_cl_smj,pre_mm_s08,pre_mm_s09,run_mm_syr,pre_mm_s06,pre_mm_s07,pre_mm_s04,pre_mm_s05,snd_pc_sav,pre_mm_s02,pre_mm_s03,ele_mt_sav,pre_mm_s01,urb_pc_sse,lka_pc_sse,pre_mm_s10,inu_pc_smx,pre_mm_s11,pre_mm_s12,cmi_ix_s07,cmi_ix_s08,cmi_ix_s05,cmi_ix_s06,cmi_ix_s09,cmi_ix_s03,cmi_ix_s04,cmi_ix_s01,cmi_ix_s02,pst_pc_sse,dis_m3_pmn,dis_m3_pmx,dis_m3_pyr,lkv_mc_usu,ria_ha_usu,riv_tc_usu,pop_ct_usu,gauge_lat,gauge_lon,gauge_name,country,area
il_12130,1.259691992,7.682043121,6.098350368,-0.769597131,0.723828777,0.063928816,1.624347826,0.824503765,11.13308688,134.0,5042.0,53.0,1262.0,10.0,515.0,12,69.0,87.0,87.0,73.0,53.0,35.0,23.0,15.0,32.0,0.0,1.0,0.0,0.0,20.0,9.0,19.0,41.0,14,331.0,2.0,313.0,0.0,11.0,25.0,2.0,14.0,100.0,54.0,3.0,260.0,267.0,217.0,242.0,255.0,53.0,50.0,77.0,21.0,33.0,12.0,232.0,194.0,50.0,35.0,147.0,87.0,78.0,5,148.0,177.0,127.0,133.0,90,586.0,1526.0,0.0,100.0,13,0.0,0.0,0.0,0.0,-53.0,69.0,49.0,100.0,127.0,0.0,0.0,35.0,0.0,899.0,0.0,436,3,44.0,332.0,17.0,31671.0,6999903232.0,267.0,26.0,58.0,91.0,50.0,1.0,697.199,145.0,12.999999999999998,119.0,10.0,151.0,153.0,21.0,122.0,155.0,54.0,1606.9999999999998,488.0,-83.0,22.0,64.0,47.0,200.0,791,32.0,9,0.0,2.0,250.0,0.0,0.0,20.0,6.0,39.0,100.0,60.0,145.0,156.0,30.0,0.0,17.0,50.0,88.0,137.0,-100.0,-100.0,-96.0,-100.0,-98.0,-34.0,-84.0,68.0,41.0,5.0,0.241,9.105,2.174,0,33.891,68.842,215.794,32.59094819,34.987524,DALIYYA - BAT SHELOMO,Israel,40.78375656278182
il_12140,1.246170431,7.717097194,6.192649898,-0.776311985,0.703176723,0.062902122,1.626548673,0.82642026,11.28411215,134.0,5042.0,53.0,1262.0,10.0,515.0,12,69.0,87.0,87.0,73.0,53.0,35.0,23.0,15.0,32.0,0.0,1.0,0.0,0.0,20.0,9.0,19.0,41.0,14,331.0,2.0,313.0,0.0,11.0,25.0,2.0,14.0,100.0,54.0,3.0,260.0,267.0,217.0,242.0,255.0,53.0,50.0,77.0,21.0,33.0,12.0,232.0,194.0,50.0,35.0,147.0,87.0,78.0,5,148.0,177.0,127.0,133.0,90,586.0,1526.0,0.0,100.0,13,0.0,0.0,0.0,0.0,-53.0,69.0,49.0,100.0,127.0,0.0,0.0,35.0,0.0,899.0,0.0,436,3,44.0,332.0,17.0,31671.000000000004,6999903232.0,267.0,26.0,58.0,91.0,50.0,1.0,697.199,145.0,13.0,119.0,10.0,151.0,153.0,21.0,122.0,155.0,54.0,1607.0,488.0,-83.0,22.0,64.0,47.0,200.0,791,32.0,9,0.0,2.0,250.0,0.0,0.0,20.0,6.0,39.0,100.0,60.0,145.0,156.0,30.0,0.0,17.0,50.0,88.0,137.0,-100.0,-100.0,-96.0,-100.0,-98.0,-34.0,-84.0,68.0,41.0,5.0,0.241,9.105,2.174,0,33.891,68.842,215.794,32.5929019,34.94766045,DALIYYA - TEL AVIV-HAIFA ROAD,Israel,66.77541174208707
il_13105,1.23264271,7.648346338,6.204836384,-0.765884938,0.736162253,0.06495551,1.61669506,0.823408624,11.06715731,71.0,4983.0,16.0,1293.0,10.0,363.0,12,68.0,87.0,88.0,73.0,52.0,34.0,22.0,13.999999999999998,39.0,0.0,0.0,0.0,0.0,1.0,9.0,18.0,40.0,14,271.0,16.0,263.0,0.0,13.999999999999998,35.0,0.0,31.0,100.0,32.0,1.0,258.0,265.0,217.0,241.0,253.0,16.0,50.0,77.0,20.0,33.0,12.0,231.0,194.0,51.00000000000001,35.0,146.0,88.0,80.0,5,147.0,177.0,127.0,132.0,90,582.0,1406.0,1.0,100.0,13,0.0,0.0,0.0,0.0,-55.0,71.0,51.00000000000001,103.0,127.0,0.0,0.0,35.0,0.0,899.0,0.0,436,16,43.0,297.0,13.0,31671.0,1955199616.0,265.0,24.0,59.0,93.0,50.0,0.0,593.518,147.0,13.0,123.0,9.0,156.0,157.0,21.0,125.0,158.0,34.0,2129.0,489.0,-85.0,17.0,64.0,44.99999999999999,199.0,791,19.0,9,0.0,1.0,242.0,0.0,0.0,18.0,5.0,42.0,101.0,59.0,108.0,155.0,28.0,0.0,16.0,33.0,85.0,142.0,-100.0,-100.0,-97.0,-100.0,-99.0,-36.0,-86.0,67.0,41.0,12.0,0.0,5.046,1.037,0,26.634,73.597,111.303,32.55476202,35.00961898,TANNINIM - 'AMMIQAM,Israel,48.68331433095054
il_13125,1.102131417,7.7242423,7.008458503,-0.789313662,0.66409133,0.064750171,1.589915966,0.82936345,11.25069638,71.0,4983.0,16.0,1293.0,10.0,363.0,12,68.0,87.0,88.0,73.0,52.0,34.0,22.0,14.0,39.0,0.0,0.0,0.0,0.0,1.0,9.0,18.0,40.0,14,271.0,16.0,263.0,0.0,14.0,35.0,0.0,31.000000000000004,100.0,32.0,1.0,258.0,265.0,217.0,241.00000000000003,253.0,16.0,50.0,77.0,20.0,33.0,12.0,231.0,194.0,51.0,35.0,146.0,88.0,80.0,5,147.0,177.0,127.0,132.0,90,582.0,1406.0,1.0,100.0,13,0.0,0.0,0.0,0.0,-55.0,71.0,51.0,103.0,127.0,0.0,0.0,35.0,0.0,899.0,0.0,436,16,43.0,297.0,13.0,31671.0,1955199616.0,265.0,24.0,59.0,93.0,50.0,0.0,593.518,147.0,13.0,123.0,9.0,156.0,157.0,21.0,125.0,158.0,34.0,2129.0,489.0,-85.0,17.0,64.0,45.0,199.0,791,19.0,9,0.0,1.0,242.0,0.0,0.0,18.0,5.0,42.0,101.0,59.0,108.0,155.0,28.0,0.0,16.0,33.0,85.0,142.0,-100.0,-100.0,-97.0,-100.0,-99.0,-36.0,-86.0,67.0,41.0,12.0,0.0,5.046,1.037,0,26.634,73.597,111.303,32.52001007,34.99880608,ADA - GIV'AT ADA,Israel,17.524861828459773
il_13135,1.103285421,7.722483231,6.99953347,-0.78892911,0.665253944,0.064887064,1.587939698,0.829295003,11.24976787,71.0,4983.0,16.0,1293.0,10.0,363.0,12,68.0,87.0,88.0,73.0,52.0,34.0,22.0,14.0,39.0,0.0,0.0,0.0,0.0,1.0,9.0,18.0,40.0,14,271.0,16.0,263.0,0.0,14.0,35.0,0.0,31.0,100.0,32.0,1.0,258.0,265.0,217.0,241.0,253.0,16.0,50.0,77.0,20.0,33.0,12.0,231.0,194.0,51.0,35.0,146.0,88.0,80.0,5,147.0,177.0,127.0,132.0,90,582.0,1405.9999999999998,1.0,100.0,13,0.0,0.0,0.0,0.0,-55.0,71.0,51.0,103.0,127.0,0.0,0.0,35.0,0.0,899.0000000000001,0.0,436,16,43.0,297.0,13.0,31671.0,1955199616.0,265.0,24.0,59.0,93.0,50.0,0.0,593.518,147.0,13.0,123.0,9.0,156.0,157.0,21.0,125.0,158.0,34.0,2129.0,489.0,-85.0,17.0,64.0,44.99999999999999,199.0,791,19.0,9,0.0,1.0,242.0,0.0,0.0,18.0,5.0,42.0,101.0,59.0,108.0,155.0,28.0,0.0,16.0,33.0,85.0,142.0,-100.0,-100.0,-97.0,-100.0,-99.0,-36.0,-86.0,67.0,41.0,12.0,0.0,5.046,1.037,0,26.634,73.597,111.303,32.50218747,35.00170911,BARQAN - KEFAR GLICKSON,Israel,25.468795351710416
il_13146,1.077241615,7.763709103,7.207026718,-0.797557933,0.638526194,0.064202601,1.597955707,0.83155373,11.39681051,71.0,4983.000000000001,16.0,1292.9999999999998,10.0,363.0,12,68.0,87.0,88.0,73.0,52.0,34.0,22.0,14.0,39.0,0.0,0.0,0.0,0.0,1.0,9.0,18.0,40.0,14,271.0,16.0,263.0,0.0,14.0,35.0,0.0,31.0,100.0,32.0,1.0,258.0,265.0,217.0,241.0,253.0,16.0,50.0,77.0,20.0,33.0,12.0,231.0,194.0,51.0,35.0,146.0,88.0,80.0,5,147.0,176.99999999999997,127.0,132.0,90,582.0,1406.0,1.0,100.0,13,0.0,0.0,0.0,0.0,-55.0,71.0,51.0,103.0,127.0,0.0,0.0,35.0,0.0,899.0,0.0,436,16,43.0,297.0,13.0,31671.0,1955199616.0,265.0,24.0,59.0,93.0,50.0,0.0,593.518,147.0,13.0,123.0,9.0,156.0,157.0,21.0,125.0,158.0,34.0,2129.0,489.0,-85.0,17.0,64.0,45.0,199.0,791,19.000000000000004,9,0.0,1.0,242.0,0.0,0.0,18.0,5.0,42.0,101.0,59.0,108.0,155.0,28.0,0.0,16.0,33.0,85.0,142.0,-100.0,-100.0,-97.0,-100.0,-99.0,-36.0,-86.0,67.0,41.0,12.0,0.0,5.046,1.037,0,26.634,73.597,111.303,32.50686275,34.95860015,ADA - BINYAMINA-PARDES HANNA RD.,Israel,58.42796606641408
il_14115,1.139327858,7.595061602,6.666265159,-0.77206218,0.718446386,0.065708419,1.58677686,0.826146475,10.95281307,100.0,5490.0,20.0,1306.0,10.0,479.0,12,67.0,87.0,89.0,75.0,53.0,35.0,22.0,14.0,45.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,39.0,14,319.0,21.0,284.0,0.0,10.0,27.0,0.0,30.0,100.0,52.00000000000001,2.0,257.0,263.0,216.0,240.0,250.0,20.0,53.0,81.0,21.0,34.0,12.0,228.0,191.0,50.0,33.0,143.0,91.0,81.0,5,143.0,174.0,123.0,128.0,90,590.0,2161.0,23.0,100.0,13,0.0,0.0,0.0,0.0,-55.0,70.0,51.0,104.0,123.0,0.0,0.0,36.00000000000001,0.0,899.0,0.0,436,12,43.0,320.0,14.0,21388.0,2807615488.0,263.0,28.0,58.0,91.0,49.0,0.0,743.7050000000002,151.0,12.0,125.0,9.000000000000002,160.0,161.0,20.0,125.0,161.0,12.0,3175.0,496.0,-86.0,13.000000000000002,64.0,45.0,196.0,791,4.0,9,0.0,1.0,232.0,0.0,0.0,20.0,5.0,36.00000000000001,107.0,66.0,184.0,155.0,57.0,0.0,14.999999999999998,9.000000000000002,81.0,140.0,-100.0,-100.0,-97.0,-100.0,-99.0,-28.0,-84.0,68.0,46.0,14.0,0.093,3.861,1.104,0,19.745,49.84,112.171,32.45461544,35.00983489,IRON - SHA'AR MENASHE,Israel,58.257612813456205
il_14120,1.188425051,7.175733744,6.038019592,-0.728737156,0.859672311,0.065776865,1.557536467,0.823203285,10.69066667,81.04988192319291,3569.575281913126,12.217770513778255,1318.1173256896598,8.77570572906195,621.0862185932559,12,61.95573119807339,80.76738348268282,83.58801715494609,70.80632059354635,50.292298163736966,32.60045650739039,20.87707488931642,13.03700840862663,56.67601525593099,0.0,0.0,0.0,0.0,0.0,7.520050399465414,15.754515353119046,36.04112551469177,14,375.906224126262,33.801702693073224,206.8306425389784,0.0,7.138770126744791,22.993121503806883,0.2603111818687329,30.17859613658429,100.0,57.98475887328616,0.8685140521129855,257.1954901413161,262.89061085938414,216.2266866206738,240.38971253028825,248.93209418021377,12.217770513778255,50.67069193259979,77.18471436240915,19.24343201753938,32.30452147579412,10.775705729061952,226.4521445796792,187.9110683835716,45.85929101707754,30.20429319005684,139.01257651613244,85.33875888436967,75.1789492921641,5,139.5417578373508,172.50446869066715,118.80741927036216,123.77023195866664,90,550.7125169289565,2294.262193733648,60.99116936174429,48.142313886866624,13,51.857686113133376,0.0,0.0,0.0,-58.11275442796798,69.74758659480672,50.13179229293844,104.4607975301651,118.80741927036216,0.0,0.0,36.35819489061586,0.0,899.0,0.0,436,18,40.123405348889406,257.2936298171507,12.594450629850895,12818.314343837468,2216635761.567068,262.89061085938414,26.22547595492916,56.59970525283316,90.07669366702147,48.31686871495592,0.0,585.1883949541595,154.03200835255123,11.274744655653366,127.59832928635416,8.1972776419581,164.46442105560578,165.77514940412485,18.031298314345843,124.42685214287285,162.5241669413748,27.99498764949045,4126.747567950828,463.9883487276253,-86.72525534434664,6.261288919952266,60.96181414369367,41.88724557203201,194.36862398933343,791,14.182649165730066,11,0.0,0.3079794405845213,220.6412872108312,0.0,0.0,20.00586690523315,5.0,37.46556087513876,101.76192730035936,64.56755186241027,266.1037921700674,141.57014468430256,44.97077545437858,0.4331492466273713,13.917541262733453,23.883589644931696,74.94363181312087,128.40171388335486,-100.0,-100.0,-97.0,-100.0,-99.69202055941548,-28.180378214766108,-83.99413309476685,65.51693591704466,44.09819349504173,13.783658638979478,0.258,12.046,3.475,0,72.324,229.769,293.406,32.44021809,34.9555167,HADERA - GAN SHEMU'EL,Israel,569.7202126031472
il_15120,1.110847365,7.037819302,6.33554125,-0.747210931,0.801764013,0.065639973,1.587748344,0.827652293,10.97277677,102.87598892699052,4814.096025714722,5.998458079440032,1331.1767851424684,8.999999999999998,703.3972857256438,12,64.5040609768816,83.31558049532944,85.87768456777957,72.48512806122623,51.55129311055797,33.347217085556785,21.403367468445484,13.67360854277839,63.93168870690204,2.350905249882977,0.0,0.0,0.0,0.3925565065533367,8.0,16.392556506553337,37.11150447032828,14,343.56451198362464,49.6487971781594,274.4230847710399,0.0,13.511437305534,15.793424389288823,0.6635938763353618,23.673163039449104,98.0150485200481,57.33275774117141,1.871658187444295,255.4996271874446,262.15241010188777,212.5204528157797,237.58661786511144,249.00368816432612,5.998458079440032,51.82233048033999,78.70001504811955,19.6736085427784,33.281052036225056,11.0,225.0137028307692,187.6664857452124,48.564995941327176,32.294754866994275,142.50251905632163,88.34198700067061,79.10627438544212,5,142.03821662343057,173.6003206958807,121.02740566153842,125.70101420431682,90,572.6764057004459,3284.845399141031,23.60321511458173,31.33231802669953,13,68.66768197330046,0.0,0.0,0.0,-57.0,70.8360333111092,51.90219836044094,106.11708534733424,121.02740566153842,0.0,0.0,36.34278329611975,0.0,894.8292106353248,0.0,436,18,41.33640612366463,314.78635226206114,12.617458159889694,13149.44213924406,2200360943.589276,262.15241010188777,26.740920679679068,57.96836340977267,92.55498127488414,49.90219836044094,0.0,697.1530799821381,154.87325077834254,11.989189038107853,129.6583637914492,8.326391457221607,163.82791135734598,166.42454388890053,19.641971952551067,125.76986826177748,161.61302437045265,32.81001908893512,4621.47706882718,482.2890792787788,-86.54127844411492,9.702556124876804,60.86208902433055,42.99999999999999,194.6003206958807,791,10.508340205479918,11,0.0,0.3263914572216068,225.0980045003072,0.0,0.0,20.082556888229867,4.93383495066827,37.656069616311306,102.08444960090964,68.78257193634943,246.1204789763768,149.62593090577275,49.31178826110769,0.6527829144432136,14.718947963774944,26.25708271714066,79.27836302809614,133.2367117714258,-100.0,-100.0,-97.0,-100.0,-99.6736085427784,-25.17577680698021,-83.8512780624384,66.60744349344667,42.620147168018605,13.225252445456183,0.257,10.925,3.151,0,65.79599999999999,209.55,298.994,32.37528291,34.91332854,ALEXANDER - ELYASHIV,Israel,473.89471735878647
il_17110,1.267077344,5.920492813,4.672558341,-0.623425856,1.187008002,0.066255989,1.581699346,0.818206708,10.28743546,131.0,4593.0,7.0,1335.0,8.0,865.0,12,59.0,78.0,83.0,71.0,51.0,33.0,20.0,13.0,68.0,2.0,0.0,0.0,0.0,0.0,7.0,15.0,34.0,12,461.0,51.0,272.0,0.0,2.0,5.0,1.0,33.0,100.0,78.0,1.0,251.0,256.0,210.0,234.0,242.0,7.0,51.0,78.0,19.0,33.0,11.0,219.0,179.0,44.0,29.0,131.0,85.0,74.0,5,132.0,167.0,110.0,115.0,89,546.0,3858.0,28.0,8.0,13,91.0,1.0,0.0,0.0,-59.0,69.0,49.0,106.0,110.0,0.0,0.0,35.0,0.0,866.0,0.0,436,18,39.0,296.0,16.0,6737.0,1615022336.0,256.0,27.0,56.0,89.0,48.0,0.0,561.604,159.0,11.0,131.0,8.0,169.0,172.0,17.0,123.0,162.99999999999997,13.0,3857.0,460.0,-87.00000000000001,5.0,58.0,41.0,187.0,791,4.0,11,0.0,0.0,208.0,0.0,0.0,20.0,4.0,37.99999999999999,104.0,73.0,425.0,140.0,45.0,0.0,13.0,10.0,73.0,117.0,-100.0,-100.0,-97.0,-100.0,-100.0,-17.0,-84.0,66.0,46.0,17.0,0.12,5.599,1.626,0,38.6,140.068,139.126,32.14754491,34.96218765,QANA - YARHIV,Israel,230.1890192245516
