gauge_id,p_mean,pet_mean,aridity,moisture_index,seasonality,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,sgr_dk_sav,nli_ix_sav,glc_pc_s03,pet_mm_syr,swc_pc_s09,ele_mt_smx,tbi_cl_smj,swc_pc_s01,swc_pc_s02,swc_pc_s03,swc_pc_s04,swc_pc_s05,swc_pc_s06,swc_pc_s07,swc_pc_s08,crp_pc_sse,glc_pc_s22,glc_pc_s20,wet_pc_sg1,wet_pc_sg2,pac_pc_sse,swc_pc_s10,swc_pc_s11,swc_pc_s12,clz_cl_smj,gwt_cm_sav,glc_pc_s18,hft_ix_s93,glc_pc_s15,ire_pc_sse,glc_pc_s16,glc_pc_s14,glc_pc_s12,kar_pc_sse,slp_dg_sav,glc_pc_s19,tmp_dc_s07,tmp_dc_s08,tmp_dc_s05,tmp_dc_s06,tmp_dc_s09,for_pc_sse,aet_mm_s06,aet_mm_s05,aet_mm_s08,aet_mm_s07,aet_mm_s09,tmp_dc_s10,tmp_dc_s11,aet_mm_s02,aet_mm_s01,tmp_dc_s12,aet_mm_s04,aet_mm_s03,lit_cl_smj,tmp_dc_s03,tmp_dc_s04,tmp_dc_s01,tmp_dc_s02,cls_cl_smj,pre_mm_syr,rdd_mk_sav,ele_mt_smn,pnv_pc_s09,wet_cl_smj,pnv_pc_s11,pnv_pc_s12,pnv_pc_s10,pnv_pc_s14,cmi_ix_syr,pet_mm_s11,pet_mm_s12,pet_mm_s10,tmp_dc_smn,wet_pc_s08,wet_pc_s09,slt_pc_sav,wet_pc_s01,hdi_ix_sav,wet_pc_s07,fec_cl_smj,glc_cl_smj,swc_pc_syr,hft_ix_s09,soc_th_sav,gdp_ud_sav,gdp_ud_ssu,tmp_dc_smx,cly_pc_sav,pet_mm_s02,pet_mm_s03,pet_mm_s01,snw_pc_smx,ppd_pk_sav,pet_mm_s08,aet_mm_s11,pet_mm_s09,aet_mm_s10,pet_mm_s06,pet_mm_s07,aet_mm_s12,pet_mm_s04,pet_mm_s05,inu_pc_slt,ero_kh_sav,aet_mm_syr,cmi_ix_s10,cmi_ix_s11,cmi_ix_s12,ari_ix_sav,tmp_dc_syr,tec_cl_smj,inu_pc_smn,pnv_cl_smj,pre_mm_s08,pre_mm_s09,run_mm_syr,pre_mm_s06,pre_mm_s07,pre_mm_s04,pre_mm_s05,snd_pc_sav,pre_mm_s02,pre_mm_s03,ele_mt_sav,pre_mm_s01,urb_pc_sse,lka_pc_sse,pre_mm_s10,inu_pc_smx,pre_mm_s11,pre_mm_s12,cmi_ix_s07,cmi_ix_s08,cmi_ix_s05,cmi_ix_s06,cmi_ix_s09,cmi_ix_s03,cmi_ix_s04,cmi_ix_s01,cmi_ix_s02,pst_pc_sse,dis_m3_pmn,dis_m3_pmx,dis_m3_pyr,lkv_mc_usu,ria_ha_usu,riv_tc_usu,pop_ct_usu,gauge_lat,gauge_lon,gauge_name,country,area
il_12130,1.259691992,7.682043121,6.098350368,-0.769597131,0.723828777,0.063928816,1.624347826,0.824503765,11.13308688,134,5042,53,1262,10,515,12,69,87,87,73,53,35,23,15,32,0,1,0,0,20,9,19,41,14,331,2,313,0,11,25,2,14,100,54,3,260,267,217,242,255,53,50,77,21,33,12,232,194,50,35,147,87,78,5,148,177,127,133,90,586,1526,0,100,13,0,0,0,0,-53,69,49,100,127,0,0,35,0,899,0,436,3,44,332,17,31671,6999903232,267,26,58,91,50,1,697.199,145,13,119,10,151,153,21,122,155,54,1607,488,-83,22,64,47,200,791,32,9,0,2,250,0,0,20,6,39,100,60,145,156,30,0,17,50,88,137,-100,-100,-96,-100,-98,-34,-84,68,41,5,0.241,9.105,2.174,0,33.891,68.842,215.794,32.59094819,34.987524,DALIYYA - BAT SHELOMO,Israel,40.78375656
il_12140,1.246170431,7.717097194,6.192649898,-0.776311985,0.703176723,0.062902122,1.626548673,0.82642026,11.28411215,134,5042,53,1262,10,515,12,69,87,87,73,53,35,23,15,32,0,1,0,0,20,9,19,41,14,331,2,313,0,11,25,2,14,100,54,3,260,267,217,242,255,53,50,77,21,33,12,232,194,50,35,147,87,78,5,148,177,127,133,90,586,1526,0,100,13,0,0,0,0,-53,69,49,100,127,0,0,35,0,899,0,436,3,44,332,17,31671,6999903232,267,26,58,91,50,1,697.199,145,13,119,10,151,153,21,122,155,54,1607,488,-83,22,64,47,200,791,32,9,0,2,250,0,0,20,6,39,100,60,145,156,30,0,17,50,88,137,-100,-100,-96,-100,-98,-34,-84,68,41,5,0.241,9.105,2.174,0,33.891,68.842,215.794,32.5929019,34.94766045,DALIYYA - TEL AVIV-HAIFA ROAD,Israel,66.77541174
il_13105,1.23264271,7.648346338,6.204836384,-0.765884938,0.736162253,0.06495551,1.61669506,0.823408624,11.06715731,71,4983,16,1293,10,363,12,68,87,88,73,52,34,22,14,39,0,0,0,0,1,9,18,40,14,271,16,263,0,14,35,0,31,100,32,1,258,265,217,241,253,16,50,77,20,33,12,231,194,51,35,146,88,80,5,147,177,127,132,90,582,1406,1,100,13,0,0,0,0,-55,71,51,103,127,0,0,35,0,899,0,436,16,43,297,13,31671,1955199616,265,24,59,93,50,0,593.518,147,13,123,9,156,157,21,125,158,34,2129,489,-85,17,64,45,199,791,19,9,0,1,242,0,0,18,5,42,101,59,108,155,28,0,16,33,85,142,-100,-100,-97,-100,-99,-36,-86,67,41,12,0,5.046,1.037,0,26.634,73.597,111.303,32.55476202,35.00961898,TANNINIM - 'AMMIQAM,Israel,48.68331433
il_13125,1.102131417,7.7242423,7.008458503,-0.789313662,0.66409133,0.064750171,1.589915966,0.82936345,11.25069638,71,4983,16,1293,10,363,12,68,87,88,73,52,34,22,14,39,0,0,0,0,1,9,18,40,14,271,16,263,0,14,35,0,31,100,32,1,258,265,217,241,253,16,50,77,20,33,12,231,194,51,35,146,88,80,5,147,177,127,132,90,582,1406,1,100,13,0,0,0,0,-55,71,51,103,127,0,0,35,0,899,0,436,16,43,297,13,31671,1955199616,265,24,59,93,50,0,593.518,147,13,123,9,156,157,21,125,158,34,2129,489,-85,17,64,45,199,791,19,9,0,1,242,0,0,18,5,42,101,59,108,155,28,0,16,33,85,142,-100,-100,-97,-100,-99,-36,-86,67,41,12,0,5.046,1.037,0,26.634,73.597,111.303,32.52001007,34.99880608,ADA - GIV'AT ADA,Israel,17.52486183
il_13135,1.103285421,7.722483231,6.99953347,-0.78892911,0.665253944,0.064887064,1.587939698,0.829295003,11.24976787,71,4983,16,1293,10,363,12,68,87,88,73,52,34,22,14,39,0,0,0,0,1,9,18,40,14,271,16,263,0,14,35,0,31,100,32,1,258,265,217,241,253,16,50,77,20,33,12,231,194,51,35,146,88,80,5,147,177,127,132,90,582,1406,1,100,13,0,0,0,0,-55,71,51,103,127,0,0,35,0,899,0,436,16,43,297,13,31671,1955199616,265,24,59,93,50,0,593.518,147,13,123,9,156,157,21,125,158,34,2129,489,-85,17,64,45,199,791,19,9,0,1,242,0,0,18,5,42,101,59,108,155,28,0,16,33,85,142,-100,-100,-97,-100,-99,-36,-86,67,41,12,0,5.046,1.037,0,26.634,73.597,111.303,32.50218747,35.00170911,BARQAN - KEFAR GLICKSON,Israel,25.46879535
il_13146,1.077241615,7.763709103,7.207026718,-0.797557933,0.638526194,0.064202601,1.597955707,0.83155373,11.39681051,71,4983,16,1293,10,363,12,68,87,88,73,52,34,22,14,39,0,0,0,0,1,9,18,40,14,271,16,263,0,14,35,0,31,100,32,1,258,265,217,241,253,16,50,77,20,33,12,231,194,51,35,146,88,80,5,147,177,127,132,90,582,1406,1,100,13,0,0,0,0,-55,71,51,103,127,0,0,35,0,899,0,436,16,43,297,13,31671,1955199616,265,24,59,93,50,0,593.518,147,13,123,9,156,157,21,125,158,34,2129,489,-85,17,64,45,199,791,19,9,0,1,242,0,0,18,5,42,101,59,108,155,28,0,16,33,85,142,-100,-100,-97,-100,-99,-36,-86,67,41,12,0,5.046,1.037,0,26.634,73.597,111.303,32.50686275,34.95860015,ADA - BINYAMINA-PARDES HANNA RD.,Israel,58.42796607
il_14115,1.139327858,7.595061602,6.666265159,-0.77206218,0.718446386,0.065708419,1.58677686,0.826146475,10.95281307,100,5490,20,1306,10,479,12,67,87,89,75,53,35,22,14,45,0,0,0,0,0,8,17,39,14,319,21,284,0,10,27,0,30,100,52,2,257,263,216,240,250,20,53,81,21,34,12,228,191,50,33,143,91,81,5,143,174,123,128,90,590,2161,23,100,13,0,0,0,0,-55,70,51,104,123,0,0,36,0,899,0,436,12,43,320,14,21388,2807615488,263,28,58,91,49,0,743.705,151,12,125,9,160,161,20,125,161,12,3175,496,-86,13,64,45,196,791,4,9,0,1,232,0,0,20,5,36,107,66,184,155,57,0,15,9,81,140,-100,-100,-97,-100,-99,-28,-84,68,46,14,0.093,3.861,1.104,0,19.745,49.84,112.171,32.45461544,35.00983489,IRON - SHA'AR MENASHE,Israel,58.25761281
il_14120,1.188425051,7.175733744,6.038019592,-0.728737156,0.859672311,0.065776865,1.557536467,0.823203285,10.69066667,81.04988192,3569.575282,12.21777051,1318.117326,8.775705729,621.0862186,12,61.9557312,80.76738348,83.58801715,70.80632059,50.29229816,32.60045651,20.87707489,13.03700841,56.67601526,0,0,0,0,0,7.520050399,15.75451535,36.04112551,14,375.9062241,33.80170269,206.8306425,0,7.138770127,22.9931215,0.260311182,30.17859614,100,57.98475887,0.868514052,257.1954901,262.8906109,216.2266866,240.3897125,248.9320942,12.21777051,50.67069193,77.18471436,19.24343202,32.30452148,10.77570573,226.4521446,187.9110684,45.85929102,30.20429319,139.0125765,85.33875888,75.17894929,5,139.5417578,172.5044687,118.8074193,123.770232,90,550.7125169,2294.262194,60.99116936,48.14231389,13,51.85768611,0,0,0,-58.11275443,69.74758659,50.13179229,104.4607975,118.8074193,0,0,36.35819489,0,899,0,436,18,40.12340535,257.2936298,12.59445063,12818.31434,2216635762,262.8906109,26.22547595,56.59970525,90.07669367,48.31686871,0,585.188395,154.0320084,11.27474466,127.5983293,8.197277642,164.4644211,165.7751494,18.03129831,124.4268521,162.5241669,27.99498765,4126.747568,463.9883487,-86.72525534,6.26128892,60.96181414,41.88724557,194.368624,791,14.18264917,11,0,0.307979441,220.6412872,0,0,20.00586691,5,37.46556088,101.7619273,64.56755186,266.1037922,141.5701447,44.97077545,0.433149247,13.91754126,23.88358964,74.94363181,128.4017139,-100,-100,-97,-100,-99.69202056,-28.18037821,-83.99413309,65.51693592,44.0981935,13.78365864,0.258,12.046,3.475,0,72.324,229.769,293.406,32.44021809,34.9555167,HADERA - GAN SHEMU'EL,Israel,569.7202126
il_15120,1.110847365,7.037819302,6.33554125,-0.747210931,0.801764013,0.065639973,1.587748344,0.827652293,10.97277677,102.8759889,4814.096026,5.998458079,1331.176785,9,703.3972857,12,64.50406098,83.3155805,85.87768457,72.48512806,51.55129311,33.34721709,21.40336747,13.67360854,63.93168871,2.35090525,0,0,0,0.392556507,8,16.39255651,37.11150447,14,343.564512,49.64879718,274.4230848,0,13.51143731,15.79342439,0.663593876,23.67316304,98.01504852,57.33275774,1.871658187,255.4996272,262.1524101,212.5204528,237.5866179,249.0036882,5.998458079,51.82233048,78.70001505,19.67360854,33.28105204,11,225.0137028,187.6664857,48.56499594,32.29475487,142.5025191,88.341987,79.10627439,5,142.0382166,173.6003207,121.0274057,125.7010142,90,572.6764057,3284.845399,23.60321511,31.33231803,13,68.66768197,0,0,0,-57,70.83603331,51.90219836,106.1170853,121.0274057,0,0,36.3427833,0,894.8292106,0,436,18,41.33640612,314.7863523,12.61745816,13149.44214,2200360944,262.1524101,26.74092068,57.96836341,92.55498127,49.90219836,0,697.15308,154.8732508,11.98918904,129.6583638,8.326391457,163.8279114,166.4245439,19.64197195,125.7698683,161.6130244,32.81001909,4621.477069,482.2890793,-86.54127844,9.702556125,60.86208902,43,194.6003207,791,10.50834021,11,0,0.326391457,225.0980045,0,0,20.08255689,4.933834951,37.65606962,102.0844496,68.78257194,246.120479,149.6259309,49.31178826,0.652782914,14.71894796,26.25708272,79.27836303,133.2367118,-100,-100,-97,-100,-99.67360854,-25.17577681,-83.85127806,66.60744349,42.62014717,13.22525245,0.257,10.925,3.151,0,65.796,209.55,298.994,32.37528291,34.91332854,ALEXANDER - ELYASHIV,Israel,473.8947174
il_17110,1.267077344,5.920492813,4.672558341,-0.623425856,1.187008002,0.066255989,1.581699346,0.818206708,10.28743546,131,4593,7,1335,8,865,12,59,78,83,71,51,33,20,13,68,2,0,0,0,0,7,15,34,12,461,51,272,0,2,5,1,33,100,78,1,251,256,210,234,242,7,51,78,19,33,11,219,179,44,29,131,85,74,5,132,167,110,115,89,546,3858,28,8,13,91,1,0,0,-59,69,49,106,110,0,0,35,0,866,0,436,18,39,296,16,6737,1615022336,256,27,56,89,48,0,561.604,159,11,131,8,169,172,17,123,163,13,3857,460,-87,5,58,41,187,791,4,11,0,0,208,0,0,20,4,38,104,73,425,140,45,0,13,10,73,117,-100,-100,-97,-100,-100,-17,-84,66,46,17,0.12,5.599,1.626,0,38.6,140.068,139.126,32.14754491,34.96218765,QANA - YARHIV,Israel,230.1890192
