STAID,split_role,STATE,HUC02,area_class,hydro_class,stratum_id,assignment_reason
01019000,development_train,ME,01,high,high,stratum:01:high:high,direct_stratum_sample
01022500,development_train,ME,01,high,high,stratum:01:high:high,direct_stratum_sample
01033000,development_train,ME,01,high,high,stratum:01:high:high,direct_stratum_sample
01038000,development_train,ME,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01049500,development_train,ME,01,high,high,stratum:01:high:high,direct_stratum_sample
01060000,spatial_holdout_nonca,ME,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01064801,development_train,NH,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01068910,spatial_holdout_nonca,ME,01,low,low,stratum:01:low:low,direct_stratum_sample
01069500,development_train,ME,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01072800,development_train,NH,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01073000,development_train,NH,01,low,high,stratum:01:low:high,direct_stratum_sample
01073319,development_train,NH,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01073500,development_train,NH,01,high,high,stratum:01:high:high,direct_stratum_sample
01073587,development_train,NH,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01074520,development_train,NH,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01075000,development_train,NH,01,high,high,stratum:01:high:high,direct_stratum_sample
01076000,spatial_holdout_nonca,NH,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01077400,development_train,NH,01,low,low,stratum:01:low:low,direct_stratum_sample
01078000,spatial_holdout_nonca,NH,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01082000,development_train,NH,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01085000,spatial_holdout_nonca,NH,01,high,high,stratum:01:high:high,direct_stratum_sample
01086000,development_train,NH,01,high,high,stratum:01:high:high,direct_stratum_sample
01089500,development_train,NH,01,high,high,stratum:01:high:high,direct_stratum_sample
01091000,development_train,NH,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01091500,development_train,NH,01,high,high,stratum:01:high:high,direct_stratum_sample
01093852,development_train,NH,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01094000,development_train,NH,01,high,high,stratum:01:high:high,direct_stratum_sample
01094400,development_train,MA,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01094500,development_train,MA,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01095220,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01095375,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01096000,development_train,MA,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01097000,development_train,MA,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01097300,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01100505,development_train,NH,01,low,low,stratum:01:low:low,direct_stratum_sample
01100561,spatial_holdout_nonca,MA,01,middle,low,stratum:01:middle:low,direct_stratum_sample
01100600,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01100627,development_train,MA,01,middle,low,stratum:01:middle:low,direct_stratum_sample
01101000,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01101500,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01102000,development_train,MA,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01102500,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01103280,development_train,MA,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01103500,development_train,MA,01,high,high,stratum:01:high:high,direct_stratum_sample
01104200,development_train,MA,01,high,high,stratum:01:high:high,direct_stratum_sample
01104430,development_train,MA,01,low,high,stratum:01:low:high,direct_stratum_sample
01104460,spatial_holdout_nonca,MA,01,low,high,stratum:01:low:high,direct_stratum_sample
01104475,development_train,MA,01,low,high,stratum:01:low:high,direct_stratum_sample
01104500,development_train,MA,01,high,high,stratum:01:high:high,direct_stratum_sample
01105000,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01105500,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01105554,development_train,MA,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01105600,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01105638,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01105880,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01105917,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01105933,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01108000,development_train,MA,01,high,high,stratum:01:high:high,direct_stratum_sample
01109000,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01109060,development_train,MA,01,middle,low,stratum:01:middle:low,direct_stratum_sample
01109070,development_train,MA,01,low,high,stratum:01:low:high,direct_stratum_sample
01109403,development_train,RI,01,middle,low,stratum:01:middle:low,direct_stratum_sample
01109730,development_train,MA,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01110000,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01111212,spatial_holdout_nonca,MA,01,high,high,stratum:01:high:high,direct_stratum_sample
01111300,development_train,RI,01,low,low,stratum:01:low:low,direct_stratum_sample
01111500,development_train,RI,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01114000,development_train,RI,01,low,low,stratum:01:low:low,direct_stratum_sample
01114500,development_train,RI,01,low,low,stratum:01:low:low,direct_stratum_sample
01115098,development_train,RI,01,low,low,stratum:01:low:low,direct_stratum_sample
01115187,development_train,RI,01,low,low,stratum:01:low:low,direct_stratum_sample
01115630,development_train,RI,01,low,low,stratum:01:low:low,direct_stratum_sample
01116000,spatial_holdout_nonca,RI,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01116500,development_train,RI,01,high,high,stratum:01:high:high,direct_stratum_sample
01116905,development_train,RI,01,low,low,stratum:01:low:low,direct_stratum_sample
01117000,development_train,RI,01,low,low,stratum:01:low:low,direct_stratum_sample
01117350,development_train,RI,01,low,low,stratum:01:low:low,direct_stratum_sample
01117370,development_train,RI,01,low,low,stratum:01:low:low,direct_stratum_sample
01117468,development_train,RI,01,low,low,stratum:01:low:low,direct_stratum_sample
01117500,development_train,RI,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01117800,spatial_holdout_nonca,RI,01,low,low,stratum:01:low:low,direct_stratum_sample
01118000,development_train,RI,01,middle,low,stratum:01:middle:low,direct_stratum_sample
01118300,development_train,CT,01,low,high,stratum:01:low:high,direct_stratum_sample
01121000,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01122000,development_train,CT,01,high,high,stratum:01:high:high,direct_stratum_sample
01123000,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01123360,development_train,MA,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01123600,development_train,MA,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01124000,development_train,CT,01,high,high,stratum:01:high:high,direct_stratum_sample
01124151,development_train,CT,01,high,high,stratum:01:high:high,direct_stratum_sample
01125000,development_train,MA,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01125500,development_train,CT,01,high,middle,sparse_pool:01,sparse_pool_forced_training
01127500,development_train,CT,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01133000,development_train,VT,01,middle,low,stratum:01:middle:low,direct_stratum_sample
01134500,development_train,VT,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01135150,development_train,VT,01,low,low,stratum:01:low:low,direct_stratum_sample
01137500,development_train,NH,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01139000,development_train,VT,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01139800,development_train,VT,01,low,low,stratum:01:low:low,direct_stratum_sample
01142500,development_train,VT,01,low,low,stratum:01:low:low,direct_stratum_sample
01150900,development_train,VT,01,low,low,stratum:01:low:low,direct_stratum_sample
01151500,development_train,VT,01,high,high,stratum:01:high:high,direct_stratum_sample
01152500,development_train,NH,01,high,high,stratum:01:high:high,direct_stratum_sample
01153000,development_train,VT,01,high,high,stratum:01:high:high,direct_stratum_sample
01153550,development_train,VT,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01155500,development_train,VT,01,high,high,stratum:01:high:high,direct_stratum_sample
01157000,development_train,NH,01,middle,low,stratum:01:middle:low,direct_stratum_sample
01158000,development_train,NH,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01160350,development_train,NH,01,high,middle,sparse_pool:01,sparse_pool_forced_training
01162000,development_train,MA,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01162500,development_train,MA,01,low,middle,sparse_pool:01,sparse_pool_forced_training
01163200,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01166500,development_train,MA,01,high,high,stratum:01:high:high,direct_stratum_sample
01168500,development_train,MA,01,high,high,stratum:01:high:high,direct_stratum_sample
01169000,development_train,MA,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01169900,development_train,MA,01,low,high,stratum:01:low:high,direct_stratum_sample
01170100,spatial_holdout_nonca,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01171500,development_train,MA,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01172500,development_train,MA,01,middle,low,stratum:01:middle:low,direct_stratum_sample
01173000,development_train,MA,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01173500,development_train,MA,01,high,high,stratum:01:high:high,direct_stratum_sample
01174500,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01174565,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01175500,development_train,MA,01,high,high,stratum:01:high:high,direct_stratum_sample
01175670,development_train,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01176000,development_train,MA,01,high,high,stratum:01:high:high,direct_stratum_sample
01179500,spatial_holdout_nonca,MA,01,high,high,stratum:01:high:high,direct_stratum_sample
01181000,development_train,MA,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01184100,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01184490,development_train,CT,01,low,middle,sparse_pool:01,sparse_pool_forced_training
01185500,development_train,MA,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01186000,spatial_holdout_nonca,CT,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01186500,development_train,CT,01,middle,middle,stratum:01:middle:middle,direct_stratum_sample
01187300,spatial_holdout_nonca,MA,01,low,low,stratum:01:low:low,direct_stratum_sample
01187800,development_train,CT,01,low,high,stratum:01:low:high,direct_stratum_sample
01188000,development_train,CT,01,low,high,stratum:01:low:high,direct_stratum_sample
01188090,development_train,CT,01,high,high,stratum:01:high:high,direct_stratum_sample
01191000,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01192500,development_train,CT,01,middle,low,stratum:01:middle:low,direct_stratum_sample
01192883,development_train,CT,01,low,middle,sparse_pool:01,sparse_pool_forced_training
01193500,development_train,CT,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01194000,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01194500,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01195100,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01195490,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01196500,development_train,CT,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01196561,development_train,CT,01,low,middle,sparse_pool:01,sparse_pool_forced_training
01196620,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01197000,development_train,MA,01,middle,low,stratum:01:middle:low,direct_stratum_sample
01197500,development_train,MA,01,high,high,stratum:01:high:high,direct_stratum_sample
01198000,development_train,MA,01,middle,low,stratum:01:middle:low,direct_stratum_sample
01199050,development_train,CT,01,low,high,stratum:01:low:high,direct_stratum_sample
01200000,development_train,NY,01,high,high,stratum:01:high:high,direct_stratum_sample
01202501,spatial_holdout_nonca,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01203600,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01203805,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01204000,development_train,CT,01,middle,low,stratum:01:middle:low,direct_stratum_sample
01206900,development_train,CT,01,middle,high,stratum:01:middle:high,direct_stratum_sample
01208500,development_train,CT,01,high,high,stratum:01:high:high,direct_stratum_sample
01208873,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01208925,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01208950,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01208990,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01209700,development_train,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01209901,spatial_holdout_nonca,CT,01,low,low,stratum:01:low:low,direct_stratum_sample
01303000,development_train,NY,02,low,low,stratum:02:low:low,direct_stratum_sample
01303500,development_train,NY,02,low,low,stratum:02:low:low,direct_stratum_sample
01304500,spatial_holdout_nonca,NY,02,middle,high,stratum:02:middle:high,direct_stratum_sample
01305000,development_train,NY,02,middle,middle,stratum:02:middle:middle,direct_stratum_sample
01305500,development_train,NY,02,low,low,stratum:02:low:low,direct_stratum_sample
01306460,development_train,NY,02,low,low,stratum:02:low:low,direct_stratum_sample
01308500,development_train,NY,02,low,low,stratum:02:low:low,direct_stratum_sample
01309500,development_train,NY,02,low,low,stratum:02:low:low,direct_stratum_sample
01309950,development_train,NY,02,low,low,stratum:02:low:low,direct_stratum_sample
01310500,development_train,NY,02,low,low,stratum:02:low:low,direct_stratum_sample
01311500,spatial_holdout_nonca,NY,02,low,low,stratum:02:low:low,direct_stratum_sample
01312000,development_train,NY,02,high,high,stratum:02:high:high,direct_stratum_sample
01315000,development_train,NY,02,middle,high,stratum:02:middle:high,direct_stratum_sample
01330000,development_train,NY,02,low,low,stratum:02:low:low,direct_stratum_sample
01331500,development_train,MA,02,middle,low,stratum:02:middle:low,direct_stratum_sample
01332500,development_train,MA,02,middle,middle,stratum:02:middle:middle,direct_stratum_sample
01333000,development_train,MA,02,low,middle,stratum:02:low:middle,direct_stratum_sample
01334000,development_train,VT,02,middle,high,stratum:02:middle:high,direct_stratum_sample
01336000,development_train,NY,02,high,high,stratum:02:high:high,direct_stratum_sample
01343060,development_train,NY,02,high,high,stratum:02:high:high,direct_stratum_sample
01348000,development_train,NY,02,high,high,stratum:02:high:high,direct_stratum_sample
01349000,development_train,NY,02,middle,middle,stratum:02:middle:middle,direct_stratum_sample
01349150,spatial_holdout_nonca,NY,02,middle,middle,stratum:02:middle:middle,direct_stratum_sample
01349700,spatial_holdout_nonca,NY,02,low,high,stratum:02:low:high,direct_stratum_sample
01349705,development_train,NY,02,middle,high,stratum:02:middle:high,direct_stratum_sample
01349711,development_train,NY,02,low,middle,stratum:02:low:middle,direct_stratum_sample
01349810,spatial_holdout_nonca,NY,02,low,middle,stratum:02:low:middle,direct_stratum_sample
01349950,development_train,NY,02,middle,high,stratum:02:middle:high,direct_stratum_sample
01350000,development_train,NY,02,high,high,stratum:02:high:high,direct_stratum_sample
01350035,development_train,NY,02,low,high,stratum:02:low:high,direct_stratum_sample
01350080,development_train,NY,02,low,high,stratum:02:low:high,direct_stratum_sample
01350120,development_train,NY,02,low,high,stratum:02:low:high,direct_stratum_sample
01350140,development_train,NY,02,low,high,stratum:02:low:high,direct_stratum_sample
01350180,development_train,NY,02,high,low,sparse_pool:02,sparse_pool_forced_training
01360640,development_train,NY,02,low,low,stratum:02:low:low,direct_stratum_sample
01362200,spatial_holdout_nonca,NY,02,middle,high,stratum:02:middle:high,direct_stratum_sample
