STAID,DRAIN_SQKM,BFI_AVE,area_bin,BFI_bin,LAT_GAGE,LNG_GAGE,STATE,HUC02,request_success,request_http_status,request_error,usgs_site_valid,has_parameter_00060,returned_observation_count,first_timestamp_utc,last_timestamp_utc,native_timestep_minutes,native_timestep_share,inferred_timestep_mode,hourly_values_count,expected_hourly_count,hourly_completeness_pct,units_original,units_output,unit_conversion_applied,completeness_class,preliminary_status,rbi,max_hourly_dqdt_m3s_per_hr,normalized_max_hourly_dqdt,q95_event_count,q99_event_count,notes,probe_stratum_x,probe_rank_in_stratum_x,probe_order,probe_stratum_y,probe_rank_in_stratum_y,probe_stratum,probe_rank_in_stratum
11465690,8.7327,29.74503,1-10 km²,20-30,38.40214,-122.73304,CA,18,True,200,,True,True,20448,2023-10-01T08:00:00+00:00,2024-05-01T07:45:00+00:00,15.0,1.0,sub-hourly,5112,8784,58.197,ft3/s,m3/s,True,INSUFFICIENT,INSUFFICIENT,,,,,,Hourly completeness below 70%; RBI metrics withheld; Native sub-hourly data required hourly resampling,1-10 km² | 20-30,1.0,1.0,1-10 km² | 20-30,1.0,,
08158045,3.8016,21.0,1-10 km²,20-30,30.300556,-97.685556,TX,12,True,200,,True,True,608,2023-10-05T10:05:00+00:00,2024-08-04T21:10:00+00:00,5.0,0.9505766062602965,sub-hourly,76,8784,0.865,ft3/s,m3/s,True,INSUFFICIENT,INSUFFICIENT,,,,,,Hourly completeness below 70%; RBI metrics withheld; Native sub-hourly data required hourly resampling,1-10 km² | 20-30,2.0,2.0,1-10 km² | 20-30,2.0,,
07010090,9.4149,23.0,1-10 km²,20-30,38.576694,-90.323528,MO,07,True,200,,True,True,103362,2023-10-01T05:00:00+00:00,2024-10-01T04:55:00+00:00,5.0,0.999100240903242,sub-hourly,8693,8784,98.964,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.616346980615097,28.817110881791997,237.1771518257697,436.0,87.0,Native sub-hourly data required hourly resampling,1-10 km² | 20-30,3.0,3.0,1-10 km² | 20-30,3.0,,
03288500,6.0012,25.88227,1-10 km²,20-30,38.02091053,-84.59383055,KY,05,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,1-10 km² | 20-30,4.0,4.0,1-10 km² | 20-30,4.0,,
01403535,3.708,28.88519,1-10 km²,20-30,40.64027778,-74.4475,NJ,02,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,1-10 km² | 20-30,5.0,5.0,1-10 km² | 20-30,5.0,,
01021200,242.8407,58.00851,100-1000 km²,>50,44.90148889,-67.24761944,ME,01,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,100-1000 km² | >50,5.0
01021470,16.1001,54.91011,10-100 km²,>50,44.800833,-67.725,ME,01,True,200,,True,True,20390,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9997057236745304,sub-hourly,5098,8784,58.037,ft3/s,m3/s,True,INSUFFICIENT,INSUFFICIENT,,,,,,Hourly completeness below 70%; RBI metrics withheld; Native sub-hourly data required hourly resampling,,,,,,10-100 km² | >50,5.0
01022330,264.8124,49.43397,100-1000 km²,40-50,44.740833,-68.013333,ME,01,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,100-1000 km² | 40-50,5.0
01037380,39.0231,50.0,10-100 km²,40-50,44.329167,-69.060833,ME,01,True,200,,True,True,23818,2023-10-01T04:15:00+00:00,2024-10-01T02:00:00+00:00,15.0,0.987781836503338,sub-hourly,6172,8784,70.264,ft3/s,m3/s,True,PARTIAL_USABLE,PARTIAL_USABLE,0.03891540935297298,9.6730347958272,6.83241929563867,309.0,62.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | 40-50,5.0
01093800,9.3897,45.43305,1-10 km²,40-50,42.8600847,-71.8328544,NH,01,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,1-10 km² | 40-50,5.0
01104475,2.0808,57.64014,1-10 km²,>50,42.354541,-71.268112,MA,01,True,200,,True,True,40681,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.8133480825958702,sub-hourly,8779,8784,99.943,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.03196089800206381,0.1777203365184969,4.093026139598969,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,1-10 km² | >50,5.0
